brand_name,generic_name,manufacturer,total_spending_2023,total_units_2023,total_claims_2023,total_beneficiaries_2023,avg_price_per_unit_2023,country,source
Trogarzo,Ibalizumab-Uiyk,Overall,14106187.76,12075.74,1301,121.0,1168.1427192,US,Medicare Part D
Trokendi XR,Topiramate,Overall,32622808.49,934562.0,17660,3454.0,35.03717514,US,Medicare Part D
Tropicamide,Tropicamide,Overall,3213.57,2818.0,246,223.0,1.500064414,US,Medicare Part D
Trospium Chloride,Trospium Chloride,Overall,22986032.49,32046404.5,354748,114171.0,0.7150100013,US,Medicare Part D
Trospium Chloride ER,Trospium Chloride,Overall,24904985.91,6295828.0,112338,34169.0,3.9632015588,US,Medicare Part D
Trudhesa,Dihydroergotamine Mesylate,Overall,3103565.42,12737.0,1913,677.0,243.66533878,US,Medicare Part D
True Comfort Alcohol Pads,Alcohol Antiseptic Pads,Overall,254129.48,565978.0,3023,1686.0,0.4490094668,US,Medicare Part D
True Comfort Pen Needle,"Pen Needle, Diabetic",Overall,1093.34,4250.0,31,13.0,0.257272056,US,Medicare Part D
True Comfort Pro Alcohol Pads,Alcohol Antiseptic Pads,Overall,591212.37,5303739.0,28180,10076.0,0.1114708642,US,Medicare Part D
True Comfort Pro Ins Syringe,"Syringe And Needle,Insulin,1ml",Overall,90666.49,202170.0,1139,668.0,0.4484917653,US,Medicare Part D
True Comfort Pro Ins Syringe,"Syringe-Needle,Insulin,0.5 Ml",Overall,5178.72,12400.0,97,38.0,0.4167864712,US,Medicare Part D
True Comfort Pro Pen Needle,"Pen Needle, Diabetic",Overall,274744.13,535051.666,3749,1466.0,0.5131311659,US,Medicare Part D
True Comfort Safety Pen Needle,"Pen Needle, Diabetic, Safety",Overall,3168660.16,2463477.0,15112,8001.0,1.2864734904,US,Medicare Part D
Trueplus Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",Overall,572706.07,2836212.0,24328,10217.0,0.2021971677,US,Medicare Part D
Trueplus Insulin Syringe,"Syringe And Needle,Insulin,1ml",Overall,1231485.1,6518706.666,55683,22129.0,0.1890256722,US,Medicare Part D
Trueplus Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",Overall,1420684.39,7078917.0,61259,22371.0,0.200752454,US,Medicare Part D
Trueplus Pen Needle,"Pen Needle, Diabetic",Overall,3191017.54,17254820.245,133176,58500.0,0.1854140682,US,Medicare Part D
Trulance,Plecanatide,Overall,119272260.13,6371221.133,148020,41836.0,18.720422288,US,Medicare Part D
Trulicity,Dulaglutide,Overall,7363856224.3,15240416.417,5316020,938731.0,483.20525328,US,Medicare Part D
Trumenba,"N.Meningitidis B,Lipid Fhbp Rc",Overall,183663.26,457.5,894,704.0,401.44974863,US,Medicare Part D
Truqap,Capivasertib,Overall,1501469.74,3904.0,61,56.0,384.59778176,US,Medicare Part D
Truseltiq,Infigratinib Phosphate,Overall,350913.2,483.0,15,,823.32142857,US,Medicare Part D
Truvada,Emtricitabine/Tenofovir (Tdf),Overall,5529868.39,89375.0,2536,588.0,61.868317684,US,Medicare Part D
Truxima,Rituximab-Abbs,Overall,15459584.81,173762.0,1580,614.0,88.969883001,US,Medicare Part D
Tudorza Pressair,Aclidinium Bromide,Overall,10574258.37,19546.0,11696,2761.0,540.99347028,US,Medicare Part D
Tukysa,Tucatinib,Overall,102384647.14,539103.0,4891,936.0,191.93340161,US,Medicare Part D
Turalio,Pexidartinib Hydrochloride,Overall,1798155.77,9424.0,108,19.0,190.80392684,US,Medicare Part D
Twinrix,Hepatitis A And B Vaccine/PF,Overall,29440638.68,200788.0,200767,119578.0,146.62548897,US,Medicare Part D
Twyneo,Tretinoin/Benzoyl Peroxide,Overall,51974.51,3330.0,107,57.0,15.607960961,US,Medicare Part D
Tyblume,Levonorgestrel/Ethin.Estradiol,Overall,2649.43,3276.0,75,32.0,0.8087393162,US,Medicare Part D
Tybost,Cobicistat,Overall,266479.55,26542.0,727,149.0,10.03991975,US,Medicare Part D
Tydemy,Drospir/Eth Estra/Levomefol Ca,Overall,6158.47,2464.0,44,12.0,2.4993790584,US,Medicare Part D
Tygacil,Tigecycline,Overall,269270.56,13469.0,192,63.0,21.035872218,US,Medicare Part D
Tykerb,Lapatinib Ditosylate,Overall,2235760.99,34038.0,263,74.0,65.684264352,US,Medicare Part D
Tymlos,Abaloparatide,Overall,197623448.36,116927.68,69151,12979.0,1690.1340073,US,Medicare Part D
Typhim Vi,Typhoid Vi Polysacch Vaccine,Overall,3439690.34,16871.325,25024,24960.0,206.95948058,US,Medicare Part D
Tyrvaya,Varenicline Tartrate,Overall,37471488.74,475324.1,47645,17880.0,78.833555336,US,Medicare Part D
Tysabri,Natalizumab,Overall,40471107.27,69099.5,4627,626.0,585.69319995,US,Medicare Part D
Tyvaso Dpi,Treprostinil,Overall,436921533.43,2375128.0,18556,3017.0,195.60946969,US,Medicare Part D
Tyvaso Refill Kit,Treprostinil/Neb Accessories,Overall,4385761.69,17133.2,210,50.0,255.98030082,US,Medicare Part D
Tyvaso Starter Kit,Treprostinil/Nebulizer/Accesor,Overall,329626.28,1136.8,14,14.0,289.95978184,US,Medicare Part D
Ubrelvy,Ubrogepant,Overall,314663942.65,3020975.555,235388,58410.0,104.15902225,US,Medicare Part D
Uceris*,Budesonide,Overall,1890840.87,85654.4,1324,577.0,26.840649569,US,Medicare Part D
Udenyca,PEGfilgrastim-Cbqv,Overall,7543946.38,1090.6,1535,533.0,6917.2440675,US,Medicare Part D
